strategy_or_artifact,status,path,sha256
CombinedBinHAndCluc,legacy_rejected,user_data/strategies/CombinedBinHAndCluc.py,e3a8e28d2b5d62e6e7227e31675653cdb1493f8b42beaca67fc3d5ee9a9990a4
SupertrendFrozen,legacy_rejected,user_data/research/st_cci/strategies/SupertrendFrozen.py,02caf68eeb0f0732b1d3ff856d866de2b38cb100c226d218b2e20c8a9b5e00dc
CCIFrozen,legacy_rejected,user_data/research/st_cci/strategies/CCIFrozen.py,1e5128159e031c70d293df88a22e52fe489d55d9859315f048a0919a00051a7b
RAvgFrozen,legacy_invalid_selection_integrity,user_data/research/st_cci/strategies/RAvgFrozen.py,84fd78b2b75557d18be34c56d91c1140870494cadc04563662277e8911af3bf8
probe5_family_arms,legacy_consumed,user_data/research/st_cci/deep/strategies/probe5.py,65532fe2f2de4c6ef5d16c65f17b6498dd05ba416a04002c2dee4d8732f9953d
research_v2_candidate,not_created,N/A,N/A
